species	fig_associated	note
Trichuris_muris_PRJEB126	no	
Trichinella_papuae_PRJNA257433	no	
Trichinella_spiralis_PRJNA257433	no	
Romanomermis_culicivorax_PRJEB1358	no	
Prionchulus_punctatus_PRJEB7585	no	
Allodorylaimus_sp_X-1655	no	
Xiphinema_index_PRJEB22758	no	
Longidorus_elongatus_PRJEB8328	no	
Tobrilus_sp_PRJNA506158	no	
Bathylaimus_sp_PRJNA506149	no	
Enoplus_brevis_PRJEB7588	no	
Thoracostomopsidae_gen_sp_PRJNA533925	no	
Cylicolaimus_sp_KK620	no	
Cylicolaimus_sp_T88	no	
Pontonema_vulgare_PRJNA504396	no	
Pontonema_sp_PRJNA506154	no	
Oncholaimidae_gen_sp_PRJNA533925	no	
Thoonchus_sp_KK658	no	
Symplocostoma_sp_PRJNA506156	no	
Hypsibius_dujardini_SRS1924217	no	
Ramazzottius_varieornatus_NA	no	
Milnesium_tardigradum_PRJNA34121	no	
